,precision,recall,f1-score,support
Component-Whole,0.7601156069364162,0.842948717948718,0.7993920972644377,312.0
Other,0.547112462006079,0.3964757709251101,0.45977011494252873,454.0
Instrument-Agency,0.7583892617449665,0.7243589743589743,0.740983606557377,156.0
Member-Collection,0.8130434782608695,0.8025751072961373,0.8077753779697624,233.0
Cause-Effect,0.8898809523809523,0.9115853658536586,0.9006024096385542,328.0
Entity-Destination,0.7747252747252747,0.9657534246575342,0.8597560975609756,292.0
Content-Container,0.8009950248756219,0.8385416666666666,0.8193384223918575,192.0
Message-Topic,0.8,0.8122605363984674,0.8060836501901142,261.0
Product-Producer,0.8009259259259259,0.7489177489177489,0.774049217002237,231.0
Entity-Origin,0.7722419928825622,0.8410852713178295,0.8051948051948052,258.0
accuracy,0.7681266102318733,0.7681266102318733,0.7681266102318733,0.7681266102318733
macro avg,0.7717429979738667,0.7884502584340846,0.7772945798712649,2717.0
weighted avg,0.7575403322824296,0.7681266102318733,0.759162267845492,2717.0
